house,id,name,start,stop
H1,8,CentralVacuum,1334357051.23,1334357096.36
H1,16,Dryer,1334356041.12,1334356135.03
H1,32,PortableVacuum,1334356941.83,1334357017.28
H1,35,Toaster,1334356449.54,1334356503.58
H1,38,Washer,1334355867.16,1334355994.2
H1,1,BR1ClosetLight,1350943930.0,1350944002.6
H1,1,BR1ClosetLight,1350944050.71,1350944123.81
H1,1,BR1ClosetLight,1350944171.08,1350944242.85
H1,3,BR1Lights,1350943569.3,1350943641.32
H1,3,BR1Lights,1350943691.76,1350943761.19
H1,3,BR1Lights,1350943810.55,1350943883.56
H1,4,BR2ClosetLight,1350942849.41,1350942920.27
H1,4,BR2ClosetLight,1350942970.53,1350943041.47
H1,4,BR2ClosetLight,1350943090.07,1350943160.51
H1,5,BR2Lights,1350942488.88,1350942560.82
H1,5,BR2Lights,1350942609.75,1350942681.02
H1,5,BR2Lights,1350942729.79,1350942801.39
H1,6,BackyardLight,1350943211.36,1350943279.8
H1,6,BackyardLight,1350943330.98,1350943401.92
H1,6,BackyardLight,1350943451.02,1350943520.29
H1,10,DiningRoomLights,1350944650.23,1350944721.0
H1,10,DiningRoomLights,1350944772.27,1350944841.04
H1,10,DiningRoomLights,1350944890.31,1350944962.24
H1,12,DownstairsBathroomFan,1350941770.14,1350941840.08
H1,12,DownstairsBathroomFan,1350941890.35,1350941960.11
H1,12,DownstairsBathroomFan,1350942010.22,1350942082.32
H1,13,DownstairsBathroomFanLights,1350942130.59,1350942200.69
H1,13,DownstairsBathroomFanLights,1350942250.13,1350942321.06
H1,13,DownstairsBathroomFanLights,1350942371.17,1350942440.94
H1,14,DownstairsBathroomLights,1350941409.69,1350941480.46
H1,14,DownstairsBathroomLights,1350941529.23,1350941600.17
H1,14,DownstairsBathroomLights,1350941649.6,1350941720.2
H1,15,DownstairsHallwayLights,1350940272.41,1350940342.51
H1,15,DownstairsHallwayLights,1350940377.96,1350940465.88
H1,15,DownstairsHallwayLights,1350940512.32,1350940582.92
H1,18,GRLights,1350944290.95,1350944360.05
H1,18,GRLights,1350944411.16,1350944480.92
H1,18,GRLights,1350944530.86,1350944602.46
H1,22,KitchenLights,1350945010.02,1350945080.45
H1,22,KitchenLights,1350945130.05,1350945200.66
H1,22,KitchenLights,1350945250.26,1350945320.36
H1,23,KitchenUnderCabinetLights,1350945370.46,1350945440.23
H1,23,KitchenUnderCabinetLights,1350945492.42,1350945559.86
H1,23,KitchenUnderCabinetLights,1350945611.96,1350945680.56
H1,24,MasterBAHeatLamp,1350948248.82,1350948319.5
H1,24,MasterBAHeatLamp,1350948369.94,1350948445.54
H1,24,MasterBAHeatLamp,1350948490.31,1350948560.25
H1,25,MasterBALights,1350947842.67,1350947927.92
H1,25,MasterBALights,1350948009.32,1350948080.76
H1,25,MasterBALights,1350948130.03,1350948202.13
H1,26,MasterBREntryLights,1350946810.43,1350946880.36
H1,26,MasterBREntryLights,1350946929.3,1350947001.4
H1,26,MasterBREntryLights,1350947050.17,1350947121.27
H1,27,MasterBRLights,1350947169.88,1350947240.15
H1,27,MasterBRLights,1350947290.25,1350947361.02
H1,27,MasterBRLights,1350947409.96,1350947481.39
H1,28,MasterBRWalk-inClosetLights,1350947529.58,1350947600.93
H1,28,MasterBRWalk-inClosetLights,1350947651.7,1350947723.63
H1,28,MasterBRWalk-inClosetLights,1350947772.57,1350947840.51
H1,29,OutsideFrontDoorLights,1350939912.62,1350939982.48
H1,29,OutsideFrontDoorLights,1350940032.83,1350940102.26
H1,29,OutsideFrontDoorLights,1350940152.95,1350940222.64
H1,30,OutsideOverGarageLights,1350939538.19,1350939608.79
H1,30,OutsideOverGarageLights,1350939657.89,1350939729.16
H1,30,OutsideOverGarageLights,1350939779.1,1350939847.7
H1,31,OverSinkLight,1350945727.08,1350945800.85
H1,31,OverSinkLight,1350945849.54,1350945922.72
H1,31,OverSinkLight,1350945971.66,1350946040.26
H1,33,PowderRmLights,1350946094.69,1350946161.63
H1,33,PowderRmLights,1350946208.9,1350946280.17
H1,33,PowderRmLights,1350946329.61,1350946402.71
H1,34,StairwayLights,1350940632.6,1350940702.54
H1,34,StairwayLights,1350940753.23,1350940822.5
H1,34,StairwayLights,1350940872.6,1350940942.7
H1,37,UpstairsHallwayLights,1350946450.81,1350946519.92
H1,37,UpstairsHallwayLights,1350946569.85,1350946640.62
H1,37,UpstairsHallwayLights,1350946690.39,1350946762.82
H1,11,Dishwasher,1351021683.52,1351022162.02
H1,2,BR1DVD,1351099604.42,1351099623.41
H1,2,BR1DVD,1351099735.95,1351099804.56
H1,2,BR1DVD,1351099855.16,1351099924.09
H1,2,BR1DVD,1351099941.56,1351100065.11
H1,9,CoffeeMaker,1351101867.06,1351102390.35
H1,9,CoffeeMaker,1351103790.59,1351103829.15
H1,17,GRLCDTV,1351104746.1,1351104815.87
H1,17,GRLCDTV,1351104891.78,1351104964.38
H1,17,GRLCDTV,1351105109.22,1351105175.66
H1,17,GRLCDTV,1351105288.03,1351105356.13
H1,19,GRPS4,1351106695.86,1351106759.3
H1,19,GRPS4,1351107065.13,1351107099.44
H1,19,GRPS4,1351107178.34,1351107296.06
H1,20,GarageDoorOpener,1351100094.57,1351100171.91
H1,20,GarageDoorOpener,1351100213.86,1351100237.18
H1,20,GarageDoorOpener,1351100334.48,1351100357.13
H1,20,GarageDoorOpener,1351100514.95,1351100541.6
H1,21,GarageLights,1351100573.44,1351100644.21
H1,21,GarageLights,1351100694.32,1351100764.75
H1,21,GarageLights,1351100815.19,1351100887.12
H1,21,GarageLights,1351100935.72,1351101006.33
H1,21,GarageLights,1351116614.44,1351116669.56
H1,36,TrashCompactor,1351104178.51,1351104211.41
H1,36,TrashCompactor,1351104295.81,1351104328.78
H1,36,TrashCompactor,1351104361.07,1351104393.71
H1,11,Dishwasher,1351181632.26,1351183743.69
H1,35,Toaster,1356635840.71,1356635911.48
H1,35,Toaster,1356635960.75,1356636031.18
H1,35,Toaster,1356636083.78,1356636151.39
H2,5,CoffeeMaker,1360954921.62,1360955023.02
H2,5,CoffeeMaker,1360955155.37,1360955418.43
H2,5,CoffeeMaker,1360955551.12,1360955687.98
H2,5,CoffeeMaker,1360955797.69,1360955964.02
H2,6,Computer,1360956486.07,1360956501.07
H2,6,Computer,1360956635.95,1360956717.59
H2,6,Computer,1360956805.52,1360956933.9
H2,6,Computer,1360956955.36,1360957052.27
H2,7,Crockpot,1360954524.38,1360954579.33
H2,7,Crockpot,1360954615.28,1360954669.73
H2,7,Crockpot,1360954794.59,1360954849.87
H2,8,DiningRoomLights,1360953474.83,1360953513.63
H2,8,DiningRoomLights,1360953595.28,1360953635.92
H2,8,DiningRoomLights,1360953655.05,1360953673.71
H2,8,DiningRoomLights,1360953714.32,1360953754.79
H2,13,GarbageDisposal,1360952155.32,1360952179.8
H2,13,GarbageDisposal,1360952214.17,1360952239.41
H2,13,GarbageDisposal,1360952274.52,1360952299.18
H2,13,GarbageDisposal,1360952334.46,1360952359.94
H2,14,HairDryer,1360951598.83,1360951640.63
H2,14,HairDryer,1360951742.85,1360951783.81
H2,18,LaptopCharger,1360953795.82,1360953870.34
H2,18,LaptopCharger,1360953957.23,1360954072.2
H2,18,LaptopCharger,1360954136.87,1360954292.55
H2,18,LaptopCharger,1360954336.41,1360954411.09
H2,21,MasterBathFan,1360950909.4,1360950964.69
H2,21,MasterBathFan,1360950999.81,1360951054.26
H2,21,MasterBathFan,1360951089.29,1360951144.5
H2,21,MasterBathFan,1360951179.95,1360951234.4
H2,25,Microwave,1360952394.73,1360952433.45
H2,25,Microwave,1360952454.83,1360952494.8
H2,25,Microwave,1360952544.74,1360952583.63
H2,25,Microwave,1360952604.34,1360952644.81
H2,28,PhoneCharger,1360952995.84,1360953034.47
H2,28,PhoneCharger,1360953115.46,1360953154.1
H2,28,PhoneCharger,1360953175.56,1360953213.37
H2,28,PhoneCharger,1360953235.67,1360953273.64
H2,29,Printer,1360957156.57,1360957171.73
H2,29,Printer,1360957325.06,1360957340.22
H2,29,Printer,1360957425.95,1360957503.21
H2,29,Printer,1360957560.47,1360957575.63
H2,30,Refrigerator,1360952695.58,1360952724.89
H2,30,Refrigerator,1360952815.78,1360952846.76
H2,30,Refrigerator,1360952874.8,1360952906.69
H2,32,StraighteningIron,1360951914.16,1360951934.82
H2,32,StraighteningIron,1360952109.79,1360952133.94
H2,33,TVDVR,1360956038.84,1360956057.66
H2,33,TVDVR,1360956214.99,1360956230.07
H2,33,TVDVR,1360956349.26,1360956395.47
H2,36,Vacuum,1360953294.86,1360953334.49
H2,36,Vacuum,1360953354.46,1360953393.43
H2,36,Vacuum,1360953414.56,1360953454.36
H2,36,Vacuum,1360953474.66,1360953513.63
H2,1,Bathroom1Lights,1339611069.96,1339611130.75
H2,2,Bathroom2Lights,1339611722.4,1339611792.76
H2,2,Bathroom2Lights,1339611908.8,1339611980.91
H2,3,Bedroom1Lights,1339610205.31,1339610282.25
H2,3,Bedroom1Lights,1339610338.02,1339610407.63
H2,3,Bedroom1Lights,1339610517.67,1339610587.95
H2,4,Bedroom2Lights,1339611241.91,1339611313.35
H2,4,Bedroom2Lights,1339611423.31,1339611493.17
H2,10,Dryer,1339631986.28,1339632372.34
H2,10,Dryer,1339638618.82,1339639281.36
H2,12,FrontRoomLights,1339608405.71,1339608475.81
H2,12,FrontRoomLights,1339608681.77,1339608753.54
H2,12,FrontRoomLights,1339608795.65,1339608865.68
H2,15,HallwayLights,1339607954.82,1339608025.59
H2,15,HallwayLights,1339608164.61,1339608235.55
H2,15,HallwayLights,1339608271.01,1339608340.78
H2,16,KitchenLights,1339606816.32,1339606884.77
H2,16,KitchenLights,1339607024.79,1339607094.89
H2,17,KitchenTableLights,1339607295.63,1339607364.58
H2,17,KitchenTableLights,1339607401.53,1339607435.67
H2,17,KitchenTableLights,1339607460.8,1339607515.76
H2,19,LaundryRoomLights,1339608830.29,1339608939.36
H2,19,LaundryRoomLights,1339608977.31,1339609046.08
H2,20,LivingRoomLights,1339609245.21,1339609316.15
H2,20,LivingRoomLights,1339609425.87,1339609497.64
H2,22,MasterBathLights,1339625044.34,1339625115.12
H2,22,MasterBathLights,1339625224.16,1339625294.11
H2,23,MasterBedroomLights,1339624684.7,1339624753.31
H2,23,MasterBedroomLights,1339624864.19,1339624934.29
H2,24,MasterClosetLights,1339625407.6,1339625475.71
H2,24,MasterClosetLights,1339625614.39,1339625684.84
H2,26,OfficeLights,1339609845.62,1339609915.89
H2,26,OfficeLights,1339610025.44,1339610158.99
H2,31,StairwayLights,1339607565.42,1339607635.19
H2,31,StairwayLights,1339607775.05,1339607844.15
H2,31,StairwayLights,1339607880.11,1339607950.05
H2,34,TeaKettle,1339622401.78,1339622626.07
H2,34,TeaKettle,1339622703.82,1339622972.23
H2,34,TeaKettle,1339623062.46,1339623306.57
H2,35,Toaster,1339625882.8,1339625972.72
H2,35,Toaster,1339626092.09,1339626235.63
H2,35,Toaster,1339626548.31,1339626661.37
H2,37,Washer,1339629232.99,1339629334.07
H2,37,Washer,1339635330.0,1339635404.77
H2,10,Dryer,1339690983.34,1339691230.11
H2,10,Dryer,1339726989.11,1339727115.99
H2,11,FrontHallLights,1339679280.81,1339679352.66
H2,11,FrontHallLights,1339679579.93,1339679650.78
H2,27,OutdoorLights,1339678980.19,1339679049.96
H2,27,OutdoorLights,1339679154.85,1339679230.12
H2,37,Washer,1339688251.21,1339688534.6
H2,37,Washer,1339699698.41,1339699995.38
H2,9,Dishwasher,1339768548.14,1339770372.18
H2,9,Dishwasher,1339778362.76,1339779229.44
H2,9,Dishwasher,1339786954.86,1339788157.37
H3,1,BackPorchLights,1343684282.53,1343684302.69
H3,1,BackPorchLights,1343684443.37,1343684513.98
H3,1,BackPorchLights,1343684578.9,1343684634.02
H3,1,BackPorchLights,1343684698.95,1343684756.57
H3,2,Bedroom1LCDTV,1343685017.8,1343685036.96
H3,2,Bedroom1LCDTV,1343685148.42,1343685205.79
H3,2,Bedroom1LCDTV,1343685299.11,1343685361.06
H3,2,Bedroom1LCDTV,1343685448.38,1343685551.45
H3,3,Bedroom1Lights,1343685659.17,1343685714.29
H3,3,Bedroom1Lights,1343685763.23,1343685778.56
H3,3,Bedroom1Lights,1343685869.13,1343685923.92
H3,3,Bedroom1Lights,1343685973.86,1343686029.15
H3,4,Bedroom2Lights,1343686118.39,1343686192.99
H3,4,Bedroom2Lights,1343686243.1,1343686297.22
H3,4,Bedroom2Lights,1343686347.83,1343686404.28
H3,4,Bedroom2Lights,1343686453.06,1343686507.35
H3,5,BonusRoomBluerayDVD,1343687309.54,1343687377.82
H3,5,BonusRoomBluerayDVD,1343687363.41,1343687463.23
H3,6,BonusRoomLEDTV,1343687800.89,1343687983.8
H3,6,BonusRoomLEDTV,1343688059.64,1343688166.71
H3,6,BonusRoomLEDTV,1343688268.43,1343688328.22
H3,6,BonusRoomLEDTV,1343688419.45,1343688551.83
H3,7,BonusRoomLights,1343688628.24,1343688683.37
H3,7,BonusRoomLights,1343688733.39,1343688788.93
H3,7,BonusRoomLights,1343688838.2,1343688893.49
H3,7,BonusRoomLights,1343688942.77,1343689028.19
H3,8,BonusRoomWii,1343689371.51,1343689454.27
H3,9,Computer,1343689904.49,1343690193.21
H3,9,Computer,1343690467.26,1343690763.15
H3,9,Computer,1343690808.76,1343691075.09
H3,9,Computer,1343691158.91,1343691465.04
H3,10,DiningRoomLights,1343691659.42,1343691714.71
H3,10,DiningRoomLights,1343691763.81,1343691819.27
H3,10,DiningRoomLights,1343691929.98,1343691991.6
H3,10,DiningRoomLights,1343692052.2,1343692104.82
H3,13,FoyerLights,1343768520.17,1343768575.13
H3,13,FoyerLights,1343768638.39,1343768695.34
H3,13,FoyerLights,1343768743.53,1343768815.06
H3,13,FoyerLights,1343768880.15,1343768936.6
H3,15,GarageDoorOpener,1343769213.08,1343769253.13
H3,15,GarageDoorOpener,1343769298.33,1343769358.78
H3,15,GarageDoorOpener,1343769482.64,1343769504.3
H3,15,GarageDoorOpener,1343769571.39,1343769598.21
H3,16,GarageLights,1343769731.14,1343769804.91
H3,16,GarageLights,1343769869.76,1343769924.96
H3,16,GarageLights,1343769989.72,1343770047.26
H3,16,GarageLights,1343770106.36,1343770165.56
H3,17,GarbageDisposal,1343770305.75,1343770376.44
H3,17,GarbageDisposal,1343770455.93,1343770526.29
H3,18,GuestBathFan,1343770769.62,1343770825.41
H3,18,GuestBathFan,1343770889.83,1343770946.12
H3,18,GuestBathFan,1343771010.38,1343771065.84
H3,18,GuestBathFan,1343771130.68,1343771185.64
H3,19,GuestBathLights,1343771489.58,1343771546.2
H3,19,GuestBathLights,1343771608.21,1343771665.58
H3,19,GuestBathLights,1343771730.17,1343771785.29
H3,19,GuestBathLights,1343771849.55,1343771905.92
H3,20,HairDryer,1343772195.21,1343772265.15
H3,20,HairDryer,1343772345.4,1343772415.51
H3,21,KitchenLights,1343772685.15,1343772806.54
H3,21,KitchenLights,1343772871.13,1343772926.42
H3,21,KitchenLights,1343772961.55,1343773076.77
H3,21,KitchenLights,1343773141.53,1343773196.49
H3,22,LaundryRoomLights,1343773350.16,1343773405.86
H3,22,LaundryRoomLights,1343773440.15,1343773555.05
H3,22,LaundryRoomLights,1343773614.06,1343773676.26
H3,22,LaundryRoomLights,1343773740.44,1343773795.39
H3,23,LivingRoomAudio-DVR-TV,1343774234.79,1343774249.95
H3,23,LivingRoomAudio-DVR-TV,1343774413.28,1343774473.23
H3,23,LivingRoomAudio-DVR-TV,1343774515.68,1343774612.43
H3,23,LivingRoomAudio-DVR-TV,1343774758.27,1343774780.26
H3,24,LivingRoomLights,1343775751.63,1343775806.75
H3,24,LivingRoomLights,1343775871.67,1343775926.8
H3,24,LivingRoomLights,1343775991.89,1343776046.84
H3,11,Dishwasher,1343850541.2,1343850655.26
H3,12,Dryer,1343842768.86,1343842977.0
H3,12,Dryer,1343848045.99,1343848142.22
H3,14,FrontPorchLights,1343852458.8,1343852514.92
H3,14,FrontPorchLights,1343852578.85,1343852634.97
H3,14,FrontPorchLights,1343852699.23,1343852755.85
H3,14,FrontPorchLights,1343852820.11,1343852876.23
H3,25,MasterBathFan,1343853061.01,1343853116.96
H3,25,MasterBathFan,1343853180.06,1343853236.01
H3,25,MasterBathFan,1343853335.07,1343853356.89
H3,25,MasterBathFan,1343853421.24,1343853475.69
H3,26,MasterBathLights,1343853570.5,1343853625.63
H3,26,MasterBathLights,1343853690.39,1343853746.17
H3,26,MasterBathLights,1343853810.93,1343853866.06
H3,26,MasterBathLights,1343853930.65,1343853986.1
H3,27,MasterBluerayDVD,1343855571.2,1343855667.95
H3,27,MasterBluerayDVD,1343855699.02,1343855826.32
H3,27,MasterBluerayDVD,1343856117.61,1343856240.92
H3,28,MasterClosetLights,1343854859.27,1343854891.08
H3,28,MasterClosetLights,1343854980.32,1343855041.6
H3,28,MasterClosetLights,1343855099.37,1343855155.32
H3,28,MasterClosetLights,1343855190.94,1343855275.37
H3,29,MasterLCDTVDVR,1343854229.89,1343854307.99
H3,29,MasterLCDTVDVR,1343854565.56,1343854631.67
H3,29,MasterLCDTVDVR,1343854709.42,1343854785.18
H3,30,MasterLights,1343856299.35,1343856355.3
H3,30,MasterLights,1343856420.31,1343856476.18
H3,30,MasterLights,1343856540.28,1343856595.73
H3,30,MasterLights,1343856719.27,1343856775.06
H3,31,Microwave,1343857715.95,1343857779.81
H3,31,Microwave,1343857954.85,1343857975.17
H3,31,Microwave,1343858040.63,1343858103.91
H3,31,Microwave,1343858116.89,1343858169.6
H3,32,OfficeLights,1343857082.08,1343857136.2
H3,32,OfficeLights,1343857200.63,1343857255.08
H3,32,OfficeLights,1343857320.59,1343857375.21
H3,32,OfficeLights,1343857440.56,1343857496.01
H3,33,Oven,1343858364.31,1343858488.36
H3,33,Oven,1343859187.13,1343859256.27
H3,34,PowderRoomLights,1343860711.0,1343860765.62
H3,34,PowderRoomLights,1343860801.57,1343860885.5
H3,34,PowderRoomLights,1343860950.51,1343861005.71
H3,34,PowderRoomLights,1343861085.84,1343861138.05
H3,35,Toaster,1343858754.56,1343858810.35
H3,35,Toaster,1343858910.44,1343859042.98
H3,35,Toaster,1343859564.46,1343859658.04
H3,36,UpstairsHallwayLights,1343860200.92,1343860256.04
H3,36,UpstairsHallwayLights,1343860307.14,1343860376.67
H3,36,UpstairsHallwayLights,1343860439.26,1343860496.72
H3,36,UpstairsHallwayLights,1343860559.48,1343860616.93
H3,37,Washer,1343840354.71,1343840647.6
H3,37,Washer,1343846252.56,1343846329.82
H4,6,BreadMaker,1343331717.01,1343331845.71
H4,6,BreadMaker,1343334055.84,1343334185.05
H4,12,Dishwasher,1343336969.73,1343339017.92
H4,17,Hairdryer,1343341974.56,1343342043.5
H4,17,Hairdryer,1343342064.63,1343342133.73
H4,17,Hairdryer,1343342124.1,1343342163.57
H4,19,Kettle,1343331954.78,1343332204.7
H4,19,Kettle,1343334835.71,1343335126.58
H4,19,Kettle,1343341224.89,1343341472.97
H4,20,KitchenCounterLights,1343332854.87,1343332910.49
H4,20,KitchenCounterLights,1343334535.0,1343334589.95
H4,20,KitchenCounterLights,1343336057.41,1343336074.73
H4,21,KitchenLightswithDimmer,1343333035.1,1343333090.38
H4,21,KitchenLightswithDimmer,1343334357.69,1343334425.13
H4,21,KitchenLightswithDimmer,1343335912.69,1343335976.97
H4,25,Microwave,1343331359.42,1343331425.36
H4,25,Microwave,1343333758.36,1343333811.98
H4,25,Microwave,1343335377.22,1343335429.09
H4,26,Mixer,1343332375.3,1343332400.12
H4,26,Mixer,1343332434.24,1343332460.06
H4,27,Oven,1343333215.11,1343333524.95
H4,27,Oven,1343336155.1,1343336464.82
H4,27,Oven,1343340835.11,1343341144.95
H4,31,SandwichMaker,1343332554.94,1343332625.21
H4,31,SandwichMaker,1343334236.98,1343334307.92
H4,31,SandwichMaker,1343335796.49,1343335864.59
H4,32,Stove,1343331236.02,1343331305.14
H4,32,Stove,1343333635.87,1343333704.91
H4,32,Stove,1343335253.76,1343335324.67
H4,33,ToasterOven,1343331509.48,1343331535.56
H4,33,ToasterOven,1343333875.04,1343333956.79
H4,33,ToasterOven,1343335493.31,1343335564.24
H4,36,Vaccum,1343341614.11,1343341684.55
H4,36,Vaccum,1343341704.01,1343341774.78
H4,36,Vaccum,1343341794.58,1343341864.7
H4,1,AppleMacbookPro13,1343433166.74,1343433185.06
H4,2,AppleMacbookPro15,1343433643.27,1343433678.24
H4,2,AppleMacbookPro15,1343433686.72,1343433737.76
H4,3,BedroomLamp1,1343421833.67,1343421890.78
H4,3,BedroomLamp1,1343422074.58,1343422129.69
H4,3,BedroomLamp1,1343422373.59,1343422429.87
H4,4,BedroomLamps2,1343421714.79,1343421769.75
H4,4,BedroomLamps2,1343421954.87,1343422010.82
H4,4,BedroomLamps2,1343422254.55,1343422309.84
H4,5,BoseiPhoneDock,1343427055.26,1343427128.94
H4,5,BoseiPhoneDock,1343427483.8,1343427545.42
H4,5,BoseiPhoneDock,1343427593.69,1343427695.09
H4,7,ClosetLight,1343431464.56,1343431518.84
H4,7,ClosetLight,1343431584.43,1343431640.05
H4,7,ClosetLight,1343431764.74,1343431819.85
H4,8,ComputerDeskLamp,1343428195.0,1343428249.7
H4,8,ComputerDeskLamp,1343428314.79,1343428370.07
H4,8,ComputerDeskLamp,1343428434.83,1343428491.11
H4,9,DeckLight,1343430324.81,1343430381.76
H4,9,DeckLight,1343430445.35,1343430499.97
H4,9,DeckLight,1343430564.72,1343430620.34
H4,10,DenBaseboardHeater,1343423011.24,1343423127.96
H4,10,DenBaseboardHeater,1343423345.39,1343423493.59
H4,10,DenBaseboardHeater,1343423685.86,1343423791.25
H4,11,DenOverheadLight,1343428659.42,1343428714.71
H4,11,DenOverheadLight,1343428764.89,1343428821.59
H4,11,DenOverheadLight,1343428914.65,1343428970.6
H4,13,ElectricFurnace,1343424534.78,1343424664.82
H4,13,ElectricFurnace,1343424744.39,1343424876.43
H4,13,ElectricFurnace,1343425672.74,1343425804.94
H4,14,Entrylight,1343429605.08,1343429661.03
H4,14,Entrylight,1343429724.78,1343429780.24
H4,14,Entrylight,1343429844.82,1343429899.77
H4,15,Forced-airHeater,1343423539.51,1343423660.89
H4,15,Forced-airHeater,1343423833.37,1343423958.41
H4,15,Forced-airHeater,1343424347.34,1343424481.02
H4,16,HPElitebookLaptop,1343432283.89,1343432358.48
H4,16,HPElitebookLaptop,1343432575.24,1343432607.88
H4,16,HPElitebookLaptop,1343432634.35,1343432671.32
H4,18,HallwayoverheadLight,1343429963.66,1343430019.77
H4,18,HallwayoverheadLight,1343430084.53,1343430139.65
H4,18,HallwayoverheadLight,1343430204.23,1343430259.69
H4,22,LivingRoomoverheadhalogen,1343429245.46,1343429299.91
H4,22,LivingRoomoverheadhalogen,1343429364.67,1343429419.95
H4,22,LivingRoomoverheadhalogen,1343429485.04,1343429539.49
H4,23,LivingroomLamp1,1343425885.38,1343425937.0
H4,23,LivingroomLamp1,1343426184.48,1343426241.51
H4,23,LivingroomLamp1,1343426395.0,1343426449.29
H4,24,LivingroomLamp2,1343426005.25,1343426060.21
H4,24,LivingroomLamp2,1343426305.43,1343426359.72
H4,24,LivingroomLamp2,1343426500.56,1343426554.18
H4,28,PC,1343427805.67,1343427875.43
H4,28,PC,1343427895.07,1343427965.17
H4,28,PC,1343427952.18,1343428082.55
H4,29,PS3,1343425409.85,1343425443.49
H4,29,PS3,1343425553.2,1343425656.76
H4,30,RoomBaseboardHeater,1343422576.71,1343422717.9
H4,30,RoomBaseboardHeater,1343422811.39,1343422940.66
H4,30,RoomBaseboardHeater,1343423162.02,1343423291.29
H4,34,ToiletExhaust,1343431044.5,1343431099.62
H4,34,ToiletExhaust,1343431164.54,1343431219.33
H4,34,ToiletExhaust,1343431284.41,1343431341.03
H4,35,ToiletHalogen,1343430684.89,1343430738.51
H4,35,ToiletHalogen,1343430804.43,1343430859.38
H4,35,ToiletHalogen,1343430924.47,1343430979.58